Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Cayman Islands,CYM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Gibraltar,GIB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
"Hong Kong SAR, China",HKG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
"Macao SAR, China",MAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Monaco,MCO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Nauru,NRU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Singapore,SGP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Sint Maarten (Dutch part),SXM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
